序號,縣市,測站,監測日期,監測時間,污染物,污染程度,PSI值,二氧化硫(ppb),一氧化碳(ppm),臭氧(ppb),懸浮微粒(μg/m3),細懸浮微粒(μg/m3),二氧化氮(ppb),風速(m/sec),AQI值,臭氧8小時移動平均(ppb),氮氧化物(ppb)(NOx),一氧化氮(ppb)(NO),風向(degrees),一氧化碳8小時移動平均(ppb),懸浮微粒移動平均值(μg/m3),細懸浮微粒移動平均值(μg/m3)
860,臺北市,古亭,2019/11/07,09時,,良好,,2,0.46,31,25,9,20,1.8,38,41,25,5,59,0,20,8
861,臺北市,古亭,2019/11/07,08時,,良好,,1.6,0.46,26,22,7,21,0.8,40,43,26,5,161,0,20,8
862,臺北市,古亭,2019/11/07,07時,,良好,,1.3,0.28,34,16,6,13,0.8,42,45,14,1,146,0,19,8
863,臺北市,古亭,2019/11/07,06時,,良好,,1.2,0.17,46,21,9,3,0.7,43,46,3,0,90,0,19,8
864,臺北市,古亭,2019/11/07,05時,,良好,,1.1,0.17,47,19,7,3.6,0.8,43,46,4,0,100,0,19,8
865,臺北市,古亭,2019/11/07,04時,,良好,,1.1,0.18,49,14,8,2.9,0.7,42,45,3,0,114,0,19,9
866,臺北市,古亭,2019/11/07,03時,,良好,,1.3,0.18,50,14,6,3.7,0.8,41,44,4,0,137,0,21,9
867,臺北市,古亭,2019/11/07,02時,,良好,,1.6,0.23,45,20,9,8.6,0.7,41,44,9,0,133,0,22,10
868,臺北市,古亭,2019/11/07,01時,,良好,,1.2,0.25,46,17,12,8.6,0.7,41,44,9,0,127,0,23,10
869,臺北市,古亭,2019/11/07,00時,,良好,,1.5,0.3,44,27,9,11,0.8,41,44,11,0,117,0,25,10
870,臺北市,古亭,2019/11/06,23時,,良好,,1.6,0.35,43,18,9,13,0.7,42,45,13,0,101,0,25,10
871,臺北市,古亭,2019/11/06,22時,,良好,,1.6,0.34,44,21,8,12,1.2,42,45,12,0,62,0,26,10
872,臺北市,古亭,2019/11/06,21時,,良好,,1.7,0.36,43,25,9,14,0.9,43,46,14,0,108,0,28,11
873,臺北市,古亭,2019/11/06,20時,,良好,,1.5,0.4,41,27,11,16,0.8,44,47,16,0,105,0,28,11
874,臺北市,古亭,2019/11/06,19時,,良好,,1.4,0.4,43,23,9,15,1,45,49,15,0,97,0,28,12
875,臺北市,古亭,2019/11/06,18時,,良好,,1.3,0.36,46,28,10,14,2.2,46,50,14,0,75,0,30,13
876,臺北市,古亭,2019/11/06,17時,,良好,,1.3,0.27,49,24,11,9.7,2.3,47,51,10,1,68,0,30,13
877,臺北市,古亭,2019/11/06,16時,,良好,,1.4,0.26,49,29,14,9.9,2.6,47,51,11,1,56,0,31,13
878,臺北市,古亭,2019/11/06,15時,,良好,,1.4,0.29,49,32,15,11,2.1,47,51,12,1,58,0,32,13
879,臺北市,古亭,2019/11/06,14時,,良好,,1.3,0.29,52,32,11,8.6,2.7,48,52,10,1,58,0,33,13
880,臺北市,古亭,2019/11/06,13時,,良好,,1.3,0.31,51,30,12,10,2,48,52,12,1,49,0,33,13
881,臺北市,古亭,2019/11/06,12時,,良好,,1.3,0.29,53,33,9,10,1.6,49,53,11,1,85,0,33,13
882,臺北市,古亭,2019/11/06,11時,,良好,,1.3,0.32,52,36,16,11,2.5,50,54,13,2,72,0,33,14
883,臺北市,古亭,2019/11/06,10時,臭氧八小時,普通,,1.2,0.32,53,33,10,10,2,51,55,11,1,70,0,32,14
884,臺北市,古亭,2019/11/06,09時,臭氧八小時,普通,,1.4,0.36,52,32,12,10,2.3,51,55,11,1,78,0,32,14
885,臺北市,古亭,2019/11/06,08時,臭氧八小時,普通,,1.2,0.42,46,30,17,16,1.6,54,56,16,0,82,0,32,15
886,臺北市,古亭,2019/11/06,07時,臭氧八小時,普通,,1,0.28,52,31,13,7.3,1.5,58,57,8,0,69,0,34,15
887,臺北市,古亭,2019/11/06,06時,臭氧八小時,普通,,1.1,0.24,57,34,13,3.8,1.1,61,58,4,0,79,0,34,16
888,臺北市,古亭,2019/11/06,05時,臭氧八小時,普通,,1,0.23,59,30,14,2.5,1.6,61,58,2,0,75,0,34,17
889,臺北市,古亭,2019/11/06,04時,臭氧八小時,普通,,1.2,0.23,58,35,18,2.6,1.5,58,57,3,0,97,0,35,17
890,臺北市,古亭,2019/11/06,03時,臭氧八小時,普通,,1.1,0.24,60,33,16,2.8,1,54,56,3,0,70,0,35,17
891,臺北市,古亭,2019/11/06,02時,細懸浮微粒,普通,,1.2,0.26,60,27,18,3,1.6,53,54,3,0,90,0,36,16
892,臺北市,古亭,2019/11/06,01時,細懸浮微粒,普通,,1.9,0.24,58,37,14,5.7,1.4,53,52,6,0,115,0,38,16
893,臺北市,古亭,2019/11/06,00時,細懸浮微粒,普通,,1.4,0.25,56,35,15,7.7,1.4,55,50,8,0,112,0,38,17
894,臺北市,古亭,2019/11/05,23時,細懸浮微粒,普通,,1.6,0.26,57,38,13,8.7,1.6,57,49,9,0,111,0,39,18
895,臺北市,古亭,2019/11/05,22時,細懸浮微粒,普通,,1.8,0.29,54,34,18,10,1.5,60,48,11,0,94,0,39,19
896,臺北市,古亭,2019/11/05,21時,細懸浮微粒,普通,,1.9,0.29,54,39,19,11,1.6,60,46,11,0,88,0,41,19
897,臺北市,古亭,2019/11/05,20時,細懸浮微粒,普通,,2,0.37,48,41,20,17,1.3,60,44,17,1,137,0,41,19
898,臺北市,古亭,2019/11/05,19時,細懸浮微粒,普通,,1.8,0.43,44,41,20,20,1.1,60,43,21,1,76,0,41,19
899,臺北市,古亭,2019/11/05,18時,細懸浮微粒,普通,,1.9,0.34,46,45,19,18,1,57,42,18,1,69,0,40,18
900,臺北市,古亭,2019/11/05,17時,細懸浮微粒,普通,,2.1,0.31,45,44,18,19,1.4,57,41,20,1,111,0,40,18
901,臺北市,古亭,2019/11/05,16時,細懸浮微粒,普通,,2.3,0.29,45,41,21,18,1.6,57,40,19,1,103,0,38,18
902,臺北市,古亭,2019/11/05,15時,細懸浮微粒,普通,,2.4,0.3,44,41,14,17,1.6,57,40,19,2,69,0,37,18
903,臺北市,古亭,2019/11/05,14時,細懸浮微粒,普通,,2.3,0.31,43,45,19,18,2.2,59,40,19,1,77,0,36,19
904,臺北市,古亭,2019/11/05,13時,細懸浮微粒,普通,,2.2,0.33,40,40,20,20,1.2,58,41,21,1,117,0,34,18
905,臺北市,古亭,2019/11/05,12時,細懸浮微粒,普通,,2.2,0.35,35,33,20,24,1.2,57,43,27,2,80,0,32,18
906,臺北市,古亭,2019/11/05,11時,細懸浮微粒,普通,,1.8,0.34,36,34,19,23,1.1,56,45,25,2,89,0,32,18
907,臺北市,古亭,2019/11/05,10時,細懸浮微粒,普通,,1.9,0.38,40,34,17,22,1.2,54,47,23,1,122,0,32,17
908,臺北市,古亭,2019/11/05,09時,細懸浮微粒,普通,,1.8,0.46,37,33,18,22,1.4,53,48,23,1,88,0,31,16
909,臺北市,古亭,2019/11/05,08時,細懸浮微粒,普通,,1.5,0.36,44,32,19,18,1.4,52,49,18,1,92,0,30,16
910,臺北市,古亭,2019/11/05,07時,細懸浮微粒,普通,,1.6,0.22,49,33,13,9.6,1,51,48,10,0,75,0,30,16
911,臺北市,古亭,2019/11/05,06時,細懸浮微粒,普通,,1.5,0.17,49,28,17,6,1.1,53,47,6,0,85,0,30,16
912,臺北市,古亭,2019/11/05,05時,細懸浮微粒,普通,,1.4,0.15,52,28,16,3.9,0.8,53,44,4,0,138,0,31,16
913,臺北市,古亭,2019/11/05,04時,細懸浮微粒,普通,,1.7,0.15,54,28,18,3.7,1.3,53,43,4,0,77,0,32,16
914,臺北市,古亭,2019/11/05,03時,細懸浮微粒,普通,,1.5,0.16,53,32,17,4.1,1.1,53,42,4,0,90,0,32,16
915,臺北市,古亭,2019/11/05,02時,細懸浮微粒,普通,,1.6,0.19,47,31,16,6.5,0.5,52,39,7,0,189,0,33,16
916,臺北市,古亭,2019/11/05,01時,,良好,,1.8,0.25,43,27,16,7,1.1,49,36,8,0,48,0,33,15
917,臺北市,古亭,2019/11/05,00時,,良好,,2,0.3,37,32,18,12,1.2,48,34,12,1,147,0,34,15
918,臺北市,古亭,2019/11/04,23時,,良好,,2.1,0.31,38,29,13,12,1.4,44,35,13,1,140,0,34,14
919,臺北市,古亭,2019/11/04,22時,,良好,,2.2,0.41,31,29,10,20,1.2,46,35,21,1,147,0,36,14
920,臺北市,古亭,2019/11/04,21時,細懸浮微粒,普通,,2.2,0.32,40,33,15,14,1.7,52,37,14,0,145,0,38,16
921,臺北市,古亭,2019/11/04,20時,細懸浮微粒,普通,,2.2,0.34,44,34,10,13,1,54,37,13,0,97,0,41,17
922,臺北市,古亭,2019/11/04,19時,細懸浮微粒,普通,,2.4,0.58,28,35,18,26,1.2,58,36,29,4,47,0,43,18
923,臺北市,古亭,2019/11/04,18時,細懸浮微粒,普通,,2.1,0.55,24,44,20,27,1.2,60,37,29,2,210,0,46,19
924,臺北市,古亭,2019/11/04,17時,細懸浮微粒,普通,,2,0.38,32,52,21,21,0.8,58,39,22,1,33,0,46,19
925,臺北市,古亭,2019/11/04,16時,細懸浮微粒,普通,,2,,41,,,18,1.4,54,40,19,1,53,0,43,17
926,臺北市,古亭,2019/11/04,15時,細懸浮微粒,普通,,2.1,,42,51,21,16,1.4,53,40,17,1,68,0,43,16
927,臺北市,古亭,2019/11/04,14時,細懸浮微粒,普通,,2,0.24,43,40,16,13,1.5,51,42,13,1,52,0,41,16
928,臺北市,古亭,2019/11/04,13時,細懸浮微粒,普通,,2,0.25,42,33,11,14,1.8,52,44,15,1,53,0,43,16
929,臺北市,古亭,2019/11/04,12時,細懸浮微粒,普通,,2.1,0.25,39,35,11,15,1.6,57,46,16,1,51,0,45,18
930,臺北市,古亭,2019/11/04,11時,細懸浮微粒,普通,,2.2,0.26,37,40,15,17,0.9,61,48,18,1,52,0,47,20
931,臺北市,古亭,2019/11/04,10時,細懸浮微粒,普通,,2.2,0.29,38,44,17,16,1,65,51,17,1,76,0,50,21
932,臺北市,古亭,2019/11/04,09時,細懸浮微粒,普通,,2,0.37,38,43,21,18,1,68,53,18,1,74,0,53,23
933,臺北市,古亭,2019/11/04,08時,細懸浮微粒,普通,,1.8,0.3,44,44,16,13,1.3,70,56,14,1,53,0,55,23
934,臺北市,古亭,2019/11/04,07時,細懸浮微粒,普通,,1.7,0.21,52,56,22,7.9,1.5,71,58,8,0,65,0,57,24
935,臺北市,古亭,2019/11/04,06時,細懸浮微粒,普通,,1.8,0.16,59,53,23,2.5,1.7,73,58,3,0,59,0,57,24
936,臺北市,古亭,2019/11/04,05時,細懸浮微粒,普通,,1.8,0.16,61,50,22,1.7,2.1,75,58,2,0,58,0,58,25
937,臺北市,古亭,2019/11/04,04時,細懸浮微粒,普通,,1.9,0.16,59,57,16,2.5,2.2,78,57,3,0,59,0,60,26
938,臺北市,古亭,2019/11/04,03時,細懸浮微粒,普通,,2,0.18,58,51,24,3.8,1.3,84,56,4,0,67,0,61,29
939,臺北市,古亭,2019/11/04,02時,細懸浮微粒,普通,,2.1,0.2,57,58,27,4.7,1.1,86,55,5,0,52,0,64,30
940,臺北市,古亭,2019/11/04,01時,細懸浮微粒,普通,,1.6,0.19,59,57,29,6.2,1.2,89,53,7,1,65,0,66,31
941,臺北市,古亭,2019/11/04,00時,細懸浮微粒,普通,,1.3,0.22,58,67,30,8.3,1.1,89,51,9,1,71,0,68,31
942,臺北市,古亭,2019/11/03,23時,細懸浮微粒,普通,,1.3,0.27,57,66,32,11,1.7,88,49,11,1,60,0,68,30
943,臺北市,古亭,2019/11/03,22時,細懸浮微粒,普通,,1.5,0.3,54,74,34,13,1.3,87,48,14,1,50,0,67,30
944,臺北市,古亭,2019/11/03,21時,細懸浮微粒,普通,,1.6,0.25,53,70,30,11,1.2,84,47,11,1,54,0,65,29
945,臺北市,古亭,2019/11/03,20時,細懸浮微粒,普通,,1.3,0.24,53,70,29,9,2,84,46,10,1,59,0,63,29
946,臺北市,古亭,2019/11/03,19時,細懸浮微粒,普通,,1.2,0.27,48,65,34,11,1.8,84,46,12,1,62,0,61,29
947,臺北市,古亭,2019/11/03,18時,細懸浮微粒,普通,,1.3,0.25,46,64,30,9.7,2,81,46,11,1,57,0,61,28
948,臺北市,古亭,2019/11/03,17時,細懸浮微粒,普通,,1.2,0.22,40,62,31,10,1.4,79,46,11,1,73,0,61,27
949,臺北市,古亭,2019/11/03,16時,細懸浮微粒,普通,,1.4,0.19,43,65,28,8,1.8,76,45,9,1,46,0,60,26
950,臺北市,古亭,2019/11/03,15時,細懸浮微粒,普通,,1.2,0.22,46,67,30,9.5,1.8,74,44,11,1,61,0,58,25
951,臺北市,古亭,2019/11/03,14時,細懸浮微粒,普通,,1.1,0.26,46,73,28,11,2.1,70,43,13,1,57,0,56,23
952,臺北市,古亭,2019/11/03,13時,細懸浮微粒,普通,,1.3,0.27,48,64,27,12,1.8,66,42,13,1,73,0,50,22
953,臺北市,古亭,2019/11/03,12時,細懸浮微粒,普通,,1.4,0.26,51,57,22,12,1.2,66,41,13,1,71,0,46,21
954,臺北市,古亭,2019/11/03,11時,細懸浮微粒,普通,,1.3,0.29,47,51,21,15,0.9,65,40,16,1,81,0,44,21
955,臺北市,古亭,2019/11/03,10時,細懸浮微粒,普通,,1.3,0.29,45,37,19,14,1.4,64,39,16,1,52,0,43,21
956,臺北市,古亭,2019/11/03,09時,細懸浮微粒,普通,,1.6,0.21,37,44,27,13,1.7,64,38,15,1,62,0,44,21
957,臺北市,古亭,2019/11/03,08時,細懸浮微粒,普通,,1.8,0.22,34,47,23,13,1,60,37,14,1,65,0,43,19
958,臺北市,古亭,2019/11/03,07時,細懸浮微粒,普通,,1.6,0.17,36,47,19,8.6,1.4,57,36,9,1,68,0,43,18
959,臺北市,古亭,2019/11/03,06時,細懸浮微粒,普通,,1.7,0.13,42,42,20,4.7,1.2,57,35,5,1,60,0,42,18
960,臺北市,古亭,2019/11/03,05時,細懸浮微粒,普通,,1.7,0.13,40,40,17,5,1,56,33,5,0,69,0,41,18
961,臺北市,古亭,2019/11/03,04時,細懸浮微粒,普通,,2.1,0.13,39,47,18,5.9,0.9,56,32,6,0,78,0,41,18
962,臺北市,古亭,2019/11/03,03時,細懸浮微粒,普通,,2,0.14,39,49,23,6.4,0.9,53,30,7,0,74,0,38,16
963,臺北市,古亭,2019/11/03,02時,,良好,,1.9,0.16,35,41,18,8.6,0.7,49,28,9,1,69,0,36,15
964,臺北市,古亭,2019/11/03,01時,,良好,,2.6,0.23,30,39,20,10,0.6,45,26,11,0,185,0,35,14
965,臺北市,古亭,2019/11/03,00時,,良好,,2.5,0.26,29,36,12,13,2.2,42,26,13,1,66,0,35,13
966,臺北市,古亭,2019/11/02,23時,,良好,,2.6,0.31,28,42,18,17,1.2,42,26,18,1,69,0,34,13
967,臺北市,古亭,2019/11/02,22時,,良好,,2.4,0.31,28,41,13,16,1.5,36,27,17,1,65,0,31,11
968,臺北市,古亭,2019/11/02,21時,,良好,,2.3,0.29,27,38,17,16,1.7,35,27,17,1,69,0,28,11
969,臺北市,古亭,2019/11/02,20時,,良好,,2.2,0.28,27,31,14,16,1.1,31,28,17,1,75,0,27,9
970,臺北市,古亭,2019/11/02,19時,,良好,,2.1,0.34,20,32,10,20,1.3,28,30,22,2,62,0,25,8
971,臺北市,古亭,2019/11/02,18時,,良好,,1.9,0.29,23,23,11,18,1.3,29,31,19,2,49,0,23,8
972,臺北市,古亭,2019/11/02,17時,,良好,,1.9,0.25,26,29,10,16,1.6,30,32,18,2,46,0,23,7
973,臺北市,古亭,2019/11/02,16時,,良好,,1.7,0.21,29,23,7,12,1.6,31,33,15,2,66,0,22,6
974,臺北市,古亭,2019/11/02,15時,,良好,,1.5,0.19,33,20,6,9.5,2,31,33,11,2,58,0,22,6
975,臺北市,古亭,2019/11/02,14時,,良好,,1.7,0.23,34,23,6,11,1.7,31,33,14,3,40,0,22,5
976,臺北市,古亭,2019/11/02,13時,,良好,,1.6,0.21,36,25,5,11,2.3,31,34,13,2,70,0,22,5
977,臺北市,古亭,2019/11/02,12時,,良好,,1.7,0.21,36,23,4,11,2.1,31,34,13,3,46,0,21,6
978,臺北市,古亭,2019/11/02,11時,,良好,,1.6,0.26,32,21,4,15,1.9,32,35,17,3,69,0,21,6
979,臺北市,古亭,2019/11/02,10時,,良好,,1.5,0.24,33,20,6,12,2,33,36,14,2,61,0,20,6
980,臺北市,古亭,2019/11/02,09時,,良好,,1.5,0.24,31,25,8,13,1.8,34,37,15,2,64,0,20,6
981,臺北市,古亭,2019/11/02,08時,,良好,,1.4,0.23,29,24,6,13,1.6,35,38,15,2,62,0,19,6
982,臺北市,古亭,2019/11/02,07時,,良好,,1.4,0.15,34,18,7,9,1.3,36,39,10,1,61,0,19,6
983,臺北市,古亭,2019/11/02,06時,,良好,,1.3,0.1,38,18,5,3.8,1.6,36,39,4,0,70,0,19,6
984,臺北市,古亭,2019/11/02,05時,,良好,,1.3,0.09,39,20,6,2.9,1.4,36,39,3,0,62,0,19,6
985,臺北市,古亭,2019/11/02,04時,,良好,,1.3,0.09,41,19,5,2.5,1.6,35,38,3,0,42,0,19,6
986,臺北市,古亭,2019/11/02,03時,,良好,,1.4,0.1,41,18,5,3.5,1.5,34,37,4,0,58,0,19,6
987,臺北市,古亭,2019/11/02,02時,,良好,,1.5,0.11,41,18,5,3.8,1.4,32,35,4,1,60,0,19,6
988,臺北市,古亭,2019/11/02,01時,,良好,,1.3,0.14,39,17,5,6.7,1.6,31,34,7,0,83,0,20,6
989,臺北市,古亭,2019/11/02,00時,,良好,,1.4,0.16,39,13,6,8,1.6,30,32,9,1,70,0,21,7
990,臺北市,古亭,2019/11/01,23時,,良好,,1.5,0.21,34,13,5,12,1.5,30,32,12,1,60,0,23,7
991,臺北市,古亭,2019/11/01,22時,,良好,,1.5,0.22,34,19,4,12,1.4,30,32,13,1,59,0,25,8
992,臺北市,古亭,2019/11/01,21時,,良好,,1.5,0.21,34,22,7,11,1.3,30,32,12,1,75,0,26,8
993,臺北市,古亭,2019/11/01,20時,,良好,,1.7,0.25,32,27,7,13,1.8,31,33,14,1,83,0,28,9
994,臺北市,古亭,2019/11/01,19時,,良好,,1.8,0.32,29,27,11,19,1.9,31,33,20,1,81,0,28,9
995,臺北市,古亭,2019/11/01,18時,,良好,,1.6,0.29,27,27,8,19,1.8,31,33,20,1,65,0,29,9
996,臺北市,古亭,2019/11/01,17時,,良好,,1.7,0.26,28,31,11,19,2.1,31,33,21,2,66,0,29,9
997,臺北市,古亭,2019/11/01,16時,,良好,,1.6,0.21,34,31,9,15,2.1,31,33,16,2,51,0,29,9
998,臺北市,古亭,2019/11/01,15時,,良好,,1.8,0.22,38,32,9,13,2.5,30,32,15,2,68,0,28,9
999,臺北市,古亭,2019/11/01,14時,,良好,,1.7,0.25,36,24,8,14,2.1,30,32,17,2,59,0,28,9
1000,臺北市,古亭,2019/11/01,13時,,良好,,1.7,0.21,38,28,11,11,2.1,30,32,13,2,71,0,28,9
1001,臺北市,古亭,2019/11/01,12時,,良好,,1.9,0.25,32,25,7,17,2.2,31,33,19,3,64,0,29,9
1002,臺北市,古亭,2019/11/01,11時,,良好,,2.2,0.28,30,28,7,19,1.6,32,35,22,3,77,0,29,10
1003,臺北市,古亭,2019/11/01,10時,,良好,,2.1,0.33,28,23,8,20,3,35,37,23,3,61,0,30,11
1004,臺北市,古亭,2019/11/01,09時,,良好,,2.1,0.42,26,29,9,22,1.9,38,39,26,5,65,0,32,12
1005,臺北市,古亭,2019/11/01,08時,,良好,,1.9,0.37,27,28,7,21,2,42,41,23,2,54,0,33,13
1006,臺北市,古亭,2019/11/01,07時,,良好,,2,0.21,37,30,12,11,1.8,44,44,11,1,74,0,35,14
1007,臺北市,古亭,2019/11/01,06時,,良好,,2.1,0.18,41,34,13,6.7,1.3,47,44,7,1,83,0,36,14
1008,臺北市,古亭,2019/11/01,05時,,良好,,2,0.16,43,34,14,6.1,1.6,47,45,7,1,57,0,36,15
1009,臺北市,古亭,2019/11/01,04時,,良好,,1.7,0.17,45,35,9,5.4,1.8,48,44,6,0,54,0,36,15
1010,臺北市,古亭,2019/11/01,03時,細懸浮微粒,普通,,1.8,0.17,45,35,14,6,1.5,53,43,7,0,63,0,36,16
1011,臺北市,古亭,2019/11/01,02時,細懸浮微粒,普通,,1.7,0.17,46,33,13,5.9,1.6,53,42,7,1,70,0,36,16
1012,臺北市,古亭,2019/11/01,01時,細懸浮微粒,普通,,1.5,0.23,46,38,17,7.4,2.4,53,41,8,1,58,0,36,17
1013,臺北市,古亭,2019/11/01,00時,細懸浮微粒,普通,,1.3,0.25,46,35,16,8.7,1.6,54,40,9,1,59,0,36,17
1014,臺北市,古亭,2019/10/31,23時,細懸浮微粒,普通,,1.2,0.29,44,40,17,11,2.5,56,39,12,1,53,0,37,18
1015,臺北市,古亭,2019/10/31,22時,細懸浮微粒,普通,,1.4,0.34,42,39,14,14,2.5,58,39,15,1,61,0,37,18
1016,臺北市,古亭,2019/10/31,21時,細懸浮微粒,普通,,1.6,0.37,39,42,22,17,2,60,39,18,1,62,0,36,19
1017,臺北市,古亭,2019/10/31,20時,細懸浮微粒,普通,,2.5,0.43,35,46,22,21,2.3,57,39,22,1,61,0,34,18
1018,臺北市,古亭,2019/10/31,18時,細懸浮微粒,普通,,1.9,0.42,37,36,18,21,2.4,52,41,22,1,58,0,27,16
1019,臺北市,古亭,2019/10/31,17時,,良好,,1.6,0.35,40,22,13,18,2.2,48,41,19,1,61,0,25,15
1020,臺北市,古亭,2019/10/31,16時,,良好,,1.4,0.34,39,20,18,18,1.8,47,41,20,2,51,0,26,15
1021,臺北市,古亭,2019/10/31,15時,,良好,,1.2,0.36,40,26,11,16,2.6,47,43,18,1,59,0,27,14
1022,臺北市,古亭,2019/10/31,14時,,良好,,1.3,0.36,43,24,12,16,2.1,49,44,17,1,62,0,27,15
1023,臺北市,古亭,2019/10/31,13時,細懸浮微粒,普通,,1.3,0.37,44,27,12,16,1.8,53,46,18,2,62,0,29,16
1024,臺北市,古亭,2019/10/31,12時,細懸浮微粒,普通,,2,0.36,44,31,17,18,2.4,57,48,20,2,51,0,31,18
1025,臺北市,古亭,2019/10/31,11時,細懸浮微粒,普通,,2.1,0.38,43,24,13,21,2.2,60,50,23,2,56,0,33,19
1026,臺北市,古亭,2019/10/31,10時,細懸浮微粒,普通,,2.2,0.45,38,32,18,25,2.5,63,52,27,2,61,0,35,21
1027,臺北市,古亭,2019/10/31,09時,細懸浮微粒,普通,,2.2,0.49,41,38,22,23,2,64,55,24,1,58,0,35,21
1028,臺北市,古亭,2019/10/31,08時,細懸浮微粒,普通,,1.4,0.39,50,37,25,16,2.4,60,57,17,1,62,0,33,19
1029,臺北市,古亭,2019/10/31,07時,臭氧八小時,普通,,1.4,0.31,53,27,19,12,1.4,64,59,12,1,59,0,32,18
1030,臺北市,古亭,2019/10/31,06時,臭氧八小時,普通,,1.6,0.27,56,25,15,6.6,1.6,67,60,7,1,57,0,34,19
1031,臺北市,古亭,2019/10/31,05時,臭氧八小時,普通,,1.1,0.24,55,17,10,5.1,1.3,74,62,6,1,62,0,38,21
1032,臺北市,古亭,2019/10/31,04時,臭氧八小時,普通,,1,0.26,60,21,15,4.9,2.1,77,63,6,1,58,0,42,23
1033,臺北市,古亭,2019/10/31,03時,臭氧八小時,普通,,1.1,0.28,62,35,21,5,2.1,80,64,5,0,59,0,47,25
1034,臺北市,古亭,2019/10/31,02時,臭氧八小時,普通,,0.9,0.28,62,50,25,5.3,1.4,77,63,6,0,59,0,51,26
1035,臺北市,古亭,2019/10/31,01時,細懸浮微粒,普通,,1.3,0.3,60,41,22,7.2,1,77,62,8,1,68,1,52,26
1036,臺北市,古亭,2019/10/31,00時,細懸浮微粒,普通,,1.3,0.36,60,52,23,9.4,1.3,80,61,10,1,80,1,56,27
1037,臺北市,古亭,2019/10/30,23時,細懸浮微粒,普通,,1.3,0.43,67,54,26,10,1.1,85,61,11,1,67,1,60,29
1038,臺北市,古亭,2019/10/30,22時,細懸浮微粒,普通,,1.6,0.46,69,58,28,12,1.1,91,61,12,1,47,1,66,32
1039,臺北市,古亭,2019/10/30,21時,細懸浮微粒,普通,,1.9,0.46,67,54,25,13,1.7,95,60,14,1,62,1,72,34
1040,臺北市,古亭,2019/10/30,20時,細懸浮微粒,對敏感族群不健康,,1.8,0.51,64,52,31,16,1.7,102,59,17,1,67,1,80,36
1041,臺北市,古亭,2019/10/30,19時,細懸浮微粒,對敏感族群不健康,,1.9,0.59,58,53,31,21,1.5,106,58,22,1,64,1,87,38
1042,臺北市,古亭,2019/10/30,18時,細懸浮微粒,對敏感族群不健康,,1.8,0.54,55,50,30,23,2,111,58,24,1,67,1,94,39
1043,臺北市,古亭,2019/10/30,17時,細懸浮微粒,對敏感族群不健康,,1.8,0.51,52,53,28,24,1.4,114,57,25,1,54,1,101,41
1044,臺北市,古亭,2019/10/30,16時,細懸浮微粒,對敏感族群不健康,,1.5,0.45,58,47,26,19,1.6,118,56,20,1,62,1,108,42
1045,臺北市,古亭,2019/10/30,15時,細懸浮微粒,對敏感族群不健康,,1.7,0.45,64,57,31,17,2,127,54,18,1,64,1,120,45
1046,臺北市,古亭,2019/10/30,14時,細懸浮微粒,對敏感族群不健康,,1.8,0.45,62,68,30,18,2,137,53,19,1,76,1,139,49
1047,臺北市,古亭,2019/10/30,13時,細懸浮微粒,對敏感族群不健康,,1.8,0.44,58,95,36,19,1.8,148,54,20,1,64,0,157,54
1048,臺北市,古亭,2019/10/30,12時,細懸浮微粒,對所有族群不健康,,1.9,0.42,,145,51,15,1.6,152,56,16,1,47,0,171,57
1049,臺北市,古亭,2019/10/30,11時,細懸浮微粒,對所有族群不健康,,,,,208,66,,1.5,154,59,,,64,0,179,60
1050,臺北市,古亭,2019/10/30,10時,細懸浮微粒,對所有族群不健康,,2.4,0.48,47,225,68,22,1.5,153,61,24,2,56,0,172,59
1051,臺北市,古亭,2019/10/30,09時,細懸浮微粒,對所有族群不健康,,2.7,0.55,45,237,75,23,1.6,152,63,25,2,74,0,154,56
1052,臺北市,古亭,2019/10/30,08時,細懸浮微粒,對敏感族群不健康,,2.5,0.5,48,243,82,21,1.5,135,64,23,1,90,0,128,49
1053,臺北市,古亭,2019/10/30,07時,細懸浮微粒,對敏感族群不健康,,2.1,0.38,57,213,76,13,1,110,63,14,1,51,0,93,39
1054,臺北市,古亭,2019/10/30,07時,,設備維護,,,,,,,,,,,,,,,,
1055,臺北市,古亭,2019/10/30,06時,細懸浮微粒,普通,,,,,,,,,63,58,,,,0,33,21
1056,臺北市,古亭,2019/10/30,05時,細懸浮微粒,普通,,,,,,,,,59,55,,,,0,31,19
1057,臺北市,古亭,2019/10/30,04時,細懸浮微粒,普通,,1.4,0.35,77,47,29,5.9,1.8,54,53,7,1,58,0,29,17
1058,臺北市,古亭,2019/10/30,03時,,良好,,1.2,0.33,72,38,23,5.5,1.2,47,47,6,1,60,0,26,15
1059,臺北市,古亭,2019/10/30,03時,,良好,,,,,,,,,43,43,,,,0,24,13
1060,臺北市,古亭,2019/10/30,02時,,良好,,1.4,0.31,62,34,17,5.7,1.4,45,42,6,1,70,0,23,14
1061,臺北市,古亭,2019/10/30,01時,,良好,,1.1,0.34,53,21,8,8.9,1.1,41,38,9,0,106,1,19,13
1062,臺北市,古亭,2019/10/30,00時,,良好,,1.7,0.4,43,30,19,14,1.2,40,35,14,0,64,1,16,12
1063,臺北市,古亭,2019/10/29,23時,,良好,,1.6,0.44,43,25,22,14,1.1,33,34,14,0,59,1,12,10
1064,臺北市,古亭,2019/10/29,22時,,良好,,0.8,0.41,36,8,8,14,1.5,31,34,14,0,75,1,11,8
